Project_Age,Project_Accept_Rate,Language,Watchers,Stars,Team_Size,Additions_Per_Week,Deletions_Per_Week,Comments_Per_Merged_PR,Contributor_Num,Churn_Average,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Close_Latency,Comments_Per_Closed_PR,Forks_Count,File_Touched_Average,Merge_Latency,Rebaseable,Intra_Branch,Project_Domain,Additions,Deletions,Day,Commits_PR,Wait_Time,Contain_Fix_Bug,PR_Latency,Files_Changed,Label_Count,Assignees_Count,Workload,PR_accept,PR_age,Commits_Average,Contributor,Followers,Closed_Num,Public_Repos,Organization_Core_Member,wait_time_up,Accept_Num,User_Accept_Rate,Contributions,Closed_Num_Rate,Following,Prev_PRs,Review_Comments_Count,Participants_Count,Comments_Count,Last_Comment_Mention,Point_To_IssueOrPR,Open_Issues,first_response,latency_after_first_response,X1_0,X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X1_7,X1_8,X1_9,PR_response,PR_Date_Created_At,PR_Time_Create_At,PR_Date_Closed_At,PR_Time_Closed_At,Project_Name,Pull_Request_ID
1013.1532407407408,0.819766911115842,1,2306,33873,259,88311.89949744307,-67282.36683413705,11.161432813659944,1995,879.1647735708951,6.826923076909948,30.61538461532573,33.49999999993557,35.82692307685418,33.76923076916582,32.90384615378288,7.903846153830954,37.3411860289606,10.087962181326859,9883,9.337224383916585,8.10831091296839,0,0,0,304,4,0,3,29.028090277777785,1,41800.45,5,3,3,451,0,6668.533333333334,1.3817552961521236,1,31,45,25,0,4,146,0.7156862745094531,16,0.2205882352940096,30,204,16,6,6,1,1,1473,0.16666666666666666,41800.28333333333,-43.0556925088,-113.38203693700001,-126.805151403,105.68266324700001,-57.5773926675,-14.975749284,62.7592909336,-94.2672625333,74.57410463689999,-252.161588505,True,2017-10-26,08:51:27,2017-11-24,09:31:54,kubernetes,kubernetes-54614
1030.6130648148148,0.8176651028509538,1,2306,33873,259,88311.89949744307,-67282.36683413705,11.175401816911213,1995,874.2588546838764,6.826923076909948,30.61538461532573,33.49999999993557,35.82692307685418,33.76923076916582,32.90384615378288,7.903846153830954,37.87676347044248,10.118918027379019,10195,8.90460048426107,8.177165583797441,0,0,0,11,20,1,1,16.587256944444444,0,23885.65,1,5,2,531,1,9166.049999999996,1.3612590799030817,1,37,22,40,0,6,263,0.8915254237285114,60,0.0745762711864154,0,295,0,5,7,0,0,1617,102.3,23783.35,-48.4161703587,-81.1999892965,-106.530223846,128.245189786,-51.511530309899996,-3.24238725007,77.2745447159,-105.29191744299999,100.50138595700001,-284.063802004,False,2017-11-29,15:13:56,2017-12-16,05:19:35,kubernetes,kubernetes-56579
1007.5123703703704,0.8202433628318561,1,2306,33873,259,88311.89949744307,-67282.36683413705,11.123585824529817,1995,880.6213381284151,6.826923076909948,30.61538461532573,33.49999999993557,35.82692307685418,33.76923076916582,32.90384615378288,7.903846153830954,37.05594031338974,10.086153846153671,9786,9.252295583733744,8.054716443856789,0,0,0,73,4,6,1,6.6439814814814815,1,9567.333333333334,4,7,3,575,1,3308.9833333333336,1.3349365981634749,2,157,43,139,1,2,229,0.8207885304656557,58,0.15412186379922793,111,279,18,6,19,1,1,1409,3.066666666666667,9564.266666666666,6.87623628229,-49.3521232009,-83.4313203841,-1.6522570494600002,-72.544424057,67.96536605060001,38.924399316300004,-39.412283606799996,47.658560164300006,-154.980618089,False,2017-11-10,16:51:00,2017-11-17,08:18:20,kubernetes,kubernetes-55491
1985.615166666667,0.9239753355096086,5,598,8684,27,12536.32702702364,-6946.289189187312,1.8600141320562067,3089,189.5235926827346,5.519230769220155,23.903846153800178,25.442307692258762,28.403846153791534,25.807692307642675,22.4230769230338,5.596153846143084,5.516857368311504,3.8134541984731,3720,3.3908205841441736,1.3577551902956992,0,0,0,79,9,1,8,15.255115740740745,0,21967.366666666665,2,0,0,77,1,9203.116666666667,4.873435326842159,1,12,5,18,0,6,70,0.8749999999989062,0,0.062499999999921875,17,80,0,2,5,0,1,3144,21967.366666666665,21967.366666666665,-15.818394720599999,-102.417841017,-180.80993566700002,128.30851596600002,-98.8223782033,137.25004594,-7.978568684310001,-94.0837982297,-9.10087537766,-224.032573164,False,2017-11-22,14:36:52,2017-12-07,20:44:14,salt,salt-44644
1367.8143148148151,0.7957092232544738,0,76,527,1,109290.86904760276,-82459.75744046393,12.760231102551682,1990,2402.803502648036,7.61538461536997,30.8269230768638,33.480769230704844,35.90384615377711,34.73076923070244,35.480769230701,7.980769230753883,29.473902286163764,10.253398968588602,2351,9.92715231787915,6.666668881733742,0,0,7,9,2,6,1,34.47097222222221,1,49638.2,2,6,0,87,1,3043.3,4.554635761588648,1,8,21,17,0,2,288,0.9290322580642164,0,0.06774193548384913,0,310,0,3,13,0,1,305,49638.2,49638.2,-215.38018377900002,-209.94691936099997,-245.29345569,210.461497635,-168.908664219,109.310178954,17.0810666168,-150.221042231,129.19329318,-670.3290057999999,False,2018-01-26,21:16:41,2018-03-02,08:34:53,cmssw,cmssw-21989
1288.6590925925925,0.7955695885330487,0,76,527,1,109290.86904760276,-82459.75744046393,12.294569736676245,1990,2427.2255260173715,7.61538461536997,30.8269230768638,33.480769230704844,35.90384615377711,34.73076923070244,35.480769230701,7.980769230753883,28.47837342122633,9.949987742093406,2253,19.258373205739318,6.52576087688808,0,0,7,2,2,2,1,49.76568287037037,1,71662.58333333331,1,5,0,187,0,507.08333333333326,3.727272727272281,1,2,4,8,0,0,6,0.4615384615349112,0,0.3076923076899408,0,13,0,4,6,1,1,267,71662.58333333331,71662.58333333331,-18.8313694708,-71.7666013092,-51.0393129885,-7.20529641584,-13.0052061975,-18.9801083915,7.6320501864,-40.7855789065,21.4587877467,-116.40081429,True,2017-10-04,15:32:54,2017-11-23,09:55:29,cmssw,cmssw-20744
993.59025,0.8226515865535633,1,2306,33873,259,88311.89949744307,-67282.36683413705,11.09482528164976,1995,886.9646744319232,6.826923076909948,30.61538461532573,33.49999999993557,35.82692307685418,33.76923076916582,32.90384615378288,7.903846153830954,36.63923949414368,10.1330380868023,9517,9.997366110622917,7.942660481598108,0,0,0,100,100,4,2,14.338796296296294,1,20647.866666666665,61,6,3,647,1,6329.333333333332,1.3107989464441918,1,137,202,155,0,4,543,0.6847414880200902,751,0.25472887767966523,1,793,0,6,9,0,1,1281,20078.4,569.4666666666667,-7.54306998849,-47.35057346520001,-63.6463099718,38.0891451836,-46.4058992565,-0.119327291846,22.2317022383,-36.9306581616,40.065816372600004,-105.587010384,False,2017-10-16,14:30:39,2017-10-30,22:38:31,kubernetes,kubernetes-53991
1353.6495648148148,0.7950166594234354,0,76,527,1,109290.86904760276,-82459.75744046393,12.680332847424607,1990,2407.055575801735,7.61538461536997,30.8269230768638,33.480769230704844,35.90384615377711,34.73076923070244,35.480769230701,7.980769230753883,29.495732452121572,10.20306242638374,2329,8.889534883719636,6.654052530155523,0,0,7,1040,0,2,1,18.92064814814815,0,27245.73333333333,2,6,0,67,1,387.38333333333327,4.04215116279011,1,3,74,28,0,0,420,0.8450704225350413,515,0.14889336016093585,0,497,0,3,13,0,0,298,27245.73333333333,27245.73333333333,-28.631636947399997,-41.5632395744,-85.5440129861,3.70779767632,-48.4725500643,-41.3203489631,27.4084535837,-7.175080180169999,55.536538630699994,-87.18533799049999,True,2018-01-24,17:32:36,2018-02-12,15:38:20,cmssw,cmssw-21947
1031.783712962963,0.8181818181818157,1,2306,33873,259,88311.89949744307,-67282.36683413705,11.169818235121623,1995,871.4349897390763,6.826923076909948,30.61538461532573,33.49999999993557,35.82692307685418,33.76923076916582,32.90384615378288,7.903846153830954,37.884483919213,10.119887862796665,10206,8.621821544151242,8.20094294305522,0,0,0,1,1,4,1,29.713229166666665,1,42787.05,1,6,2,438,1,40.28333333333333,1.3541377716134368,2,83,39,54,1,0,416,0.9004329004327055,31,0.08441558441556615,137,462,0,6,13,0,1,1620,0.2,42786.85,-68.9837035835,-90.62007092309999,-108.257143289,48.623324446400005,-104.313158691,25.1935665011,88.5540214982,-110.893271536,151.638873566,-323.682855278,True,2017-11-17,23:19:42,2017-12-17,16:26:45,kubernetes,kubernetes-55977
2774.296814814815,0.6740431239038447,6,2623,39005,53,3851.382183907492,-3194.232758620231,3.2606566159026307,4464,37.036274584831745,7.807692307677293,9.807692307673447,8.249999999984134,7.865384615369487,8.673076923060242,8.576923076906581,6.84615384614068,66.287284746765,4.7847760721632415,14476,7.388257575756175,11.205410237904903,0,0,8,32,7,6,1,8.810069444444443,1,12686.5,3,0,0,169,1,2652.433333333333,2.0587121212117308,3,1032,36,80,1,1,72,0.6315789473678671,3709,0.3157894736839335,129,114,5,2,1,0,1,251,12.533333333333333,12673.966666666667,-60.7776089683,-204.766323976,-269.08894651599996,138.556822374,-175.55460450099997,171.87213429099998,82.1087067947,-67.4548216797,81.4493512567,-585.212096319,True,2017-09-30,03:47:33,2017-10-08,23:14:03,rails,rails-30757
